Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Kranji Reservoir,2018,5,1,—,—,—,—,—,—,—,—,—
Kranji Reservoir,2018,5,2,1.2,1.2,1.2,1.2,—,—,—,—,—
Kranji Reservoir,2018,5,3,33.4,30.4,33.4,33.4,—,—,—,—,—
Kranji Reservoir,2018,5,4,4.8,3.2,4.4,4.6,—,—,—,—,—
Kranji Reservoir,2018,5,5,17.6,15.2,16.4,17.2,—,—,—,—,—
Kranji Reservoir,2018,5,6,0,0,0,0,—,—,—,—,—
Kranji Reservoir,2018,5,7,0,0,0,0,—,—,—,—,—
Kranji Reservoir,2018,5,8,0,0,0,0,—,—,—,—,—
Kranji Reservoir,2018,5,9,0,0,0,0,—,—,—,—,—
Kranji Reservoir,2018,5,10,0,0,0,0,—,—,—,—,—
Kranji Reservoir,2018,5,11,0,0,0,0,—,—,—,—,—
Kranji Reservoir,2018,5,12,23.2,21.8,22.6,23.2,—,—,—,—,—
Kranji Reservoir,2018,5,13,3.2,0.8,1.2,1.6,—,—,—,—,—
Kranji Reservoir,2018,5,14,0.6,0.6,0.6,0.6,—,—,—,—,—
Kranji Reservoir,2018,5,15,8.4,6.6,8.2,8.2,—,—,—,—,—
Kranji Reservoir,2018,5,16,84.8,55.4,61.6,81.8,—,—,—,—,—
Kranji Reservoir,2018,5,17,1,1,1,1,—,—,—,—,—
Kranji Reservoir,2018,5,18,49,33.8,39.6,48.6,—,—,—,—,—
Kranji Reservoir,2018,5,19,2.2,1.8,2,2,—,—,—,—,—
Kranji Reservoir,2018,5,20,0.6,0.4,0.6,0.6,—,—,—,—,—
Kranji Reservoir,2018,5,21,—,—,—,—,—,—,—,—,—
Kranji Reservoir,2018,5,22,0,0,0,0,—,—,—,—,—
Kranji Reservoir,2018,5,23,2.2,0.6,0.6,0.8,—,—,—,—,—
Kranji Reservoir,2018,5,24,0.8,0.2,0.4,0.6,—,—,—,—,—
Kranji Reservoir,2018,5,25,0,0,0,0,—,—,—,—,—
Kranji Reservoir,2018,5,26,8.2,4,5.6,6.8,—,—,—,—,—
Kranji Reservoir,2018,5,27,10,8,9.8,10,—,—,—,—,—
Kranji Reservoir,2018,5,28,2.2,1.2,1.8,1.8,—,—,—,—,—
Kranji Reservoir,2018,5,29,11.6,8.2,11.2,11.6,—,—,—,—,—
Kranji Reservoir,2018,5,30,0,0,0,0,—,—,—,—,—
Kranji Reservoir,2018,5,31,0,0,0,0,—,—,—,—,—
