Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Lower Peirce Reservoir,2017,10,1,21.2,15,15.4,15.8,—,—,—,—,—
Lower Peirce Reservoir,2017,10,2,0.2,0.2,0.2,0.2,—,—,—,—,—
Lower Peirce Reservoir,2017,10,3,1.2,0.4,0.6,0.6,—,—,—,—,—
Lower Peirce Reservoir,2017,10,4,3.8,2.2,2.4,2.4,—,—,—,—,—
Lower Peirce Reservoir,2017,10,5,0.4,0.2,0.2,0.4,—,—,—,—,—
Lower Peirce Reservoir,2017,10,6,8.6,8.6,8.6,8.6,—,—,—,—,—
Lower Peirce Reservoir,2017,10,7,17.4,14.4,16.2,17.2,—,—,—,—,—
Lower Peirce Reservoir,2017,10,8,29.2,17.6,18,18,—,—,—,—,—
Lower Peirce Reservoir,2017,10,9,26.6,22.8,24.8,26,—,—,—,—,—
Lower Peirce Reservoir,2017,10,10,23.2,14,18.2,20.8,—,—,—,—,—
Lower Peirce Reservoir,2017,10,11,12.2,9.8,10.8,12.2,—,—,—,—,—
Lower Peirce Reservoir,2017,10,12,5.4,2.4,2.6,3,—,—,—,—,—
Lower Peirce Reservoir,2017,10,13,1.2,0.8,1,1,—,—,—,—,—
Lower Peirce Reservoir,2017,10,14,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2017,10,15,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2017,10,16,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2017,10,17,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2017,10,18,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2017,10,19,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2017,10,20,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2017,10,21,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2017,10,22,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2017,10,23,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2017,10,24,17,7.6,10.8,11.4,—,—,—,—,—
Lower Peirce Reservoir,2017,10,25,0.6,0.2,0.4,0.4,—,—,—,—,—
Lower Peirce Reservoir,2017,10,26,0.2,0.2,0.2,0.2,—,—,—,—,—
Lower Peirce Reservoir,2017,10,27,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2017,10,28,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2017,10,29,3.2,3.2,3.2,3.2,—,—,—,—,—
Lower Peirce Reservoir,2017,10,30,26.4,11,20,23,—,—,—,—,—
Lower Peirce Reservoir,2017,10,31,1.2,0.6,0.8,1,—,—,—,—,—
