Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (West),1995,1,1,0.4,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,2,1.8,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,3,3.2,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,4,10.8,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,5,19.4,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,6,5.9,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,7,8.5,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,8,1.2,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,9,0.9,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,10,0.2,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,11,3.6,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,12,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,13,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,14,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,15,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,16,3.3,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,17,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,18,46.5,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,19,44.1,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,20,0.2,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,21,16.6,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,22,1.6,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,23,1.3,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,24,27.4,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,25,4.2,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,26,14.5,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,27,3.6,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,28,15.3,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,29,0.3,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,30,0.5,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1995,1,31,63.1,—,—,—,—,—,—,—,—
