Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Simei,2018,7,1,0.2,0.2,0.2,0.2,—,—,—,—,—
Simei,2018,7,2,0,0,0,0,—,—,—,—,—
Simei,2018,7,3,3,2,2,3,—,—,—,—,—
Simei,2018,7,4,0,0,0,0,—,—,—,—,—
Simei,2018,7,5,0,0,0,0,—,—,—,—,—
Simei,2018,7,6,0,0,0,0,—,—,—,—,—
Simei,2018,7,7,34.6,19.4,30.4,34.6,—,—,—,—,—
Simei,2018,7,8,0,0,0,0,—,—,—,—,—
Simei,2018,7,9,0,0,0,0,—,—,—,—,—
Simei,2018,7,10,6.8,6.2,6.8,6.8,—,—,—,—,—
Simei,2018,7,11,0.4,0.4,0.4,0.4,—,—,—,—,—
Simei,2018,7,12,0.2,0.2,0.2,0.2,—,—,—,—,—
Simei,2018,7,13,0,0,0,0,—,—,—,—,—
Simei,2018,7,14,4.4,3.2,3.2,3.2,—,—,—,—,—
Simei,2018,7,15,26.6,18.4,23.8,25.4,—,—,—,—,—
Simei,2018,7,16,0,0,0,0,—,—,—,—,—
Simei,2018,7,17,0,0,0,0,—,—,—,—,—
Simei,2018,7,18,0,0,0,0,—,—,—,—,—
Simei,2018,7,19,11.2,9.6,10.8,11.2,—,—,—,—,—
Simei,2018,7,20,3,2.8,3,3,—,—,—,—,—
Simei,2018,7,21,2.6,2.6,2.6,2.6,—,—,—,—,—
Simei,2018,7,22,0,0,0,0,—,—,—,—,—
Simei,2018,7,23,0,0,0,0,—,—,—,—,—
Simei,2018,7,24,0,0,0,0,—,—,—,—,—
Simei,2018,7,25,0.2,0.2,0.2,0.2,—,—,—,—,—
Simei,2018,7,26,0,0,0,0,—,—,—,—,—
Simei,2018,7,27,0,0,0,0,—,—,—,—,—
Simei,2018,7,28,0,0,0,0,—,—,—,—,—
Simei,2018,7,29,0,0,0,0,—,—,—,—,—
Simei,2018,7,30,—,—,—,—,—,—,—,—,—
Simei,2018,7,31,0,0,0,0,—,—,—,—,—
