Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Kranji Reservoir,1994,12,1,68.9,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,2,32.3,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,3,3.2,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,4,24.8,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,5,1.4,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,6,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,7,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,8,0.5,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,9,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,10,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,11,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,12,13.2,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,13,7.6,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,14,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,15,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,16,4.2,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,17,12.3,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,18,1,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,19,84.2,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,20,6.6,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,21,2.6,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,22,8.4,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,23,0.5,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,24,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,25,0.2,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,26,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,27,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,28,0.8,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,29,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,30,22.2,—,—,—,—,—,—,—,—
Kranji Reservoir,1994,12,31,0,—,—,—,—,—,—,—,—
