Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Ris (West),2008,9,1,10.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,2,29.8,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,3,107.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,4,0.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,5,4.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,6,4.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,7,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,8,3.6,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,9,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,10,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,11,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,12,9,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,13,2.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,14,0.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,15,0.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,16,0.8,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,17,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,18,19.8,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,19,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,20,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,21,28.9,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,22,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,23,0.5,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,24,3.6,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,25,23.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,26,7.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,27,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,28,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,29,22.8,—,—,—,—,—,—,—,—
Pasir Ris (West),2008,9,30,10.6,—,—,—,—,—,—,—,—
