Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Kranji Reservoir,2001,2,1,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,2,18.5,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,3,0.2,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,4,0.1,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,5,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,6,7,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,7,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,8,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,9,0.1,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,10,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,11,3.3,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,12,1.7,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,13,5,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,14,7.4,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,15,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,16,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,17,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,18,65.4,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,19,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,20,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,21,2.8,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,22,12.7,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,23,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,24,37.2,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,25,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,26,0,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,27,24.5,—,—,—,—,—,—,—,—
Kranji Reservoir,2001,2,28,0,—,—,—,—,—,—,—,—
