Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Boon Lay (West),1989,7,1,12.9,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,2,0.1,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,3,3.6,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,4,12.2,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,5,8.1,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,6,8,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,7,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,8,3.1,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,9,32.4,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,10,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,11,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,12,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,13,3.9,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,14,14.1,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,15,14.5,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,16,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,17,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,18,12.2,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,19,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,20,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,21,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,22,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,23,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,24,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,25,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,26,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,27,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,28,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,29,0,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,30,13.1,—,—,—,—,—,—,—,—
Boon Lay (West),1989,7,31,0,—,—,—,—,—,—,—,—
