Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Ris (Central),2011,8,1,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,2,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,3,1,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,4,7,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,5,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,6,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,7,8.6,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,8,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,9,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,10,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,11,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,12,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,13,0.6,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,14,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,15,20.2,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,16,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,17,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,18,0.2,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,19,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,20,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,21,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,22,2,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,23,7.2,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,24,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,25,37.6,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,26,1,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,27,2.4,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,28,0,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,29,4.8,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,30,1,—,—,—,—,—,—,—,—
Pasir Ris (Central),2011,8,31,0,—,—,—,—,—,—,—,—
