Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Kranji Reservoir,1993,12,1,7.6,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,2,2.7,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,3,14.7,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,4,4.3,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,5,23.7,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,6,27.3,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,7,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,8,24.8,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,9,0.1,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,10,4.1,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,11,0.1,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,12,10.7,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,13,53.6,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,14,17.8,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,15,4.4,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,16,29.8,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,17,5.9,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,18,0.5,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,19,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,20,61.9,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,21,3.6,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,22,9.3,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,23,32.6,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,24,3.3,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,25,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,26,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,27,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,28,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,29,4.1,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,30,0.2,—,—,—,—,—,—,—,—
Kranji Reservoir,1993,12,31,1.4,—,—,—,—,—,—,—,—
