Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tanjong Katong,2005,6,1,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,2,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,3,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,4,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,5,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,6,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,7,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,8,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,9,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,10,3.5,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,11,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,12,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,13,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,14,0.5,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,15,3.5,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,16,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,17,4,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,18,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,19,17.5,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,20,11,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,21,3,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,22,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,23,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,24,2,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,25,7.7,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,26,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,27,0.1,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,28,0,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,29,1.8,—,—,—,—,—,—,—,—
Tanjong Katong,2005,6,30,0.1,—,—,—,—,—,—,—,—
