Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Kent Ridge,2012,3,1,10.6,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,2,6.4,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,3,1.4,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,4,0,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,5,24.2,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,6,0,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,7,1.6,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,8,33,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,9,0,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,10,13.8,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,11,9.2,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,12,0,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,13,39.4,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,14,9.6,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,15,0.2,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,16,0,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,17,1,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,18,6.4,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,19,0,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,20,0,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,21,0.2,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,22,7,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,23,0,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,24,0,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,25,56.8,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,26,0,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,27,2,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,28,0.2,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,29,0,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,30,61.4,—,—,—,—,—,—,—,—
Kent Ridge,2012,3,31,4.6,—,—,—,—,—,—,—,—
