Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tanjong Katong,1987,10,1,10.8,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,2,9.6,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,3,6.5,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,4,0.2,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,5,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,6,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,7,2.6,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,8,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,9,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,10,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,11,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,12,8,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,13,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,14,26.9,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,15,46,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,16,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,17,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,18,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,19,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,20,11.7,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,21,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,22,0.2,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,23,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,24,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,25,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,26,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,27,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,28,16.8,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,29,14.7,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,30,0,—,—,—,—,—,—,—,—
Tanjong Katong,1987,10,31,0,—,—,—,—,—,—,—,—
