Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Queenstown,1999,7,1,3.4,—,—,—,—,—,—,—,—
Queenstown,1999,7,2,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,3,4.3,—,—,—,—,—,—,—,—
Queenstown,1999,7,4,8.5,—,—,—,—,—,—,—,—
Queenstown,1999,7,5,0.2,—,—,—,—,—,—,—,—
Queenstown,1999,7,6,18.6,—,—,—,—,—,—,—,—
Queenstown,1999,7,7,2.3,—,—,—,—,—,—,—,—
Queenstown,1999,7,8,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,9,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,10,15.6,—,—,—,—,—,—,—,—
Queenstown,1999,7,11,6.1,—,—,—,—,—,—,—,—
Queenstown,1999,7,12,0.4,—,—,—,—,—,—,—,—
Queenstown,1999,7,13,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,14,10.8,—,—,—,—,—,—,—,—
Queenstown,1999,7,15,50.7,—,—,—,—,—,—,—,—
Queenstown,1999,7,16,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,17,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,18,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,19,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,20,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,21,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,22,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,23,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,24,7.8,—,—,—,—,—,—,—,—
Queenstown,1999,7,25,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,26,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,27,0,—,—,—,—,—,—,—,—
Queenstown,1999,7,28,5.6,—,—,—,—,—,—,—,—
Queenstown,1999,7,29,42.3,—,—,—,—,—,—,—,—
Queenstown,1999,7,30,13.6,—,—,—,—,—,—,—,—
Queenstown,1999,7,31,0,—,—,—,—,—,—,—,—
