Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Ulu Pandan,1982,10,1,44.7,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,2,38.5,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,3,0,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,4,0,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,5,0,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,6,0.4,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,7,—,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,8,—,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,9,—,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,10,—,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,11,—,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,12,—,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,13,—,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,14,—,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,15,3.2,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,16,14.3,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,17,0.2,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,18,0,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,19,0.3,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,20,0,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,21,2.5,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,22,64.5,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,23,9.3,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,24,2.4,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,25,13.3,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,26,19.2,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,27,0,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,28,3.4,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,29,0.1,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,30,19.3,—,—,—,—,—,—,—,—
Ulu Pandan,1982,10,31,27.3,—,—,—,—,—,—,—,—
