Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (West),1996,10,1,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,2,6.3,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,3,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,4,7.4,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,5,0.3,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,6,0.9,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,7,2,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,8,7.6,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,9,0.2,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,10,2.5,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,11,0.7,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,12,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,13,2.1,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,14,13,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,15,9.8,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,16,98.3,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,17,3.8,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,18,1.4,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,19,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,20,40.1,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,21,2,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,22,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,23,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,24,0.6,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,25,5.8,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,26,12.9,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,27,5,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,28,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,29,0.5,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,30,0.3,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1996,10,31,0,—,—,—,—,—,—,—,—
