Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Ris (West),2003,12,1,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,2,0.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,3,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,4,0.6,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,5,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,6,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,7,2.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,8,0.6,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,9,55.5,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,10,16.3,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,11,0.8,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,12,24.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,13,1.6,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,14,3.3,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,15,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,16,7.1,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,17,0.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,18,27.8,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,19,2.1,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,20,104.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,21,13.7,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,22,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,23,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,24,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,25,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,26,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,27,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,28,0.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,29,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,30,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2003,12,31,0,—,—,—,—,—,—,—,—
