Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Kranji Reservoir,1989,7,1,30.4,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,2,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,3,4,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,4,2.4,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,5,18.3,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,6,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,7,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,8,0.6,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,9,60.2,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,10,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,11,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,12,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,13,12.3,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,14,9,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,15,27.5,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,16,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,17,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,18,15.5,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,19,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,20,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,21,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,22,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,23,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,24,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,25,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,26,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,27,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,28,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,29,0,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,30,18.8,—,—,—,—,—,—,—,—
Kranji Reservoir,1989,7,31,0,—,—,—,—,—,—,—,—
