Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Macritchie Reservoir,1996,7,1,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,2,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,3,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,4,4,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,5,0.5,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,6,24.2,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,7,17,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,8,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,9,46.2,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,10,8.5,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,11,35.1,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,12,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,13,2.6,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,14,1.2,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,15,12.4,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,16,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,17,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,18,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,19,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,20,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,21,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,22,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,23,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,24,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,25,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,26,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,27,0.2,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,28,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,29,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,30,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1996,7,31,17.4,—,—,—,—,—,—,—,—
