Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Macritchie Reservoir,1994,8,1,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,2,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,3,6.8,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,4,1.8,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,5,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,6,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,7,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,8,2.4,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,9,6.9,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,10,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,11,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,12,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,13,2.8,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,14,9.5,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,15,55.6,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,16,28.9,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,17,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,18,25.1,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,19,0.2,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,20,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,21,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,22,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,23,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,24,37.8,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,25,0.2,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,26,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,27,0,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,28,1.9,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,29,21.3,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,30,12,—,—,—,—,—,—,—,—
Macritchie Reservoir,1994,8,31,0,—,—,—,—,—,—,—,—
