Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (West),1987,12,1,60,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,2,36.5,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,3,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,4,0.2,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,5,3.3,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,6,6.7,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,7,25.9,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,8,0.3,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,9,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,10,10.1,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,11,2.5,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,12,14.1,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,13,5.9,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,14,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,15,2.6,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,16,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,17,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,18,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,19,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,20,6.2,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,21,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,22,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,23,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,24,0.4,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,25,1,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,26,0.3,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,27,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,28,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,29,8.5,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,30,0,—,—,—,—,—,—,—,—
Choa Chu Kang (West),1987,12,31,0,—,—,—,—,—,—,—,—
