Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tanjong Katong,1985,10,1,11.3,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,2,0.8,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,3,5.7,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,4,0,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,5,0,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,6,0.9,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,7,10.8,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,8,0,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,9,6.3,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,10,0,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,11,11.2,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,12,4.8,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,13,0.4,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,14,0,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,15,0,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,16,11,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,17,0,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,18,8.8,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,19,0,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,20,20.1,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,21,0,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,22,36.2,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,23,2.1,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,24,0,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,25,1.2,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,26,1.5,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,27,0,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,28,0,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,29,3.4,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,30,27,—,—,—,—,—,—,—,—
Tanjong Katong,1985,10,31,22.1,—,—,—,—,—,—,—,—
