Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Ris (West),1984,12,1,2.3,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,2,0,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,3,0,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,4,2,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,5,11.1,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,6,1.2,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,7,4.1,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,8,0,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,9,0,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,10,0,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,11,0,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,12,1.6,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,13,0,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,14,12.6,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,15,4.4,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,16,10.8,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,17,0.7,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,18,71,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,19,5.2,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,20,0,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,21,1.2,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,22,1.5,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,23,44.7,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,24,14.8,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,25,0,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,26,0.2,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,27,15,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,28,34.8,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,29,10.8,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,30,0,—,—,—,—,—,—,—,—
Pasir Ris (West),1984,12,31,0,—,—,—,—,—,—,—,—
