Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Panjang,1986,4,1,0,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,2,0.7,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,3,104.5,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,4,8.7,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,5,7,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,6,18.9,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,7,0.1,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,8,56.8,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,9,13.9,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,10,0,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,11,1.4,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,12,46.3,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,13,10.7,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,14,40.5,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,15,0.7,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,16,3.5,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,17,0.9,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,18,26.2,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,19,2.5,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,20,0,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,21,0,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,22,0,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,23,0,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,24,0.7,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,25,0,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,26,73.7,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,27,0,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,28,0,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,29,0.1,—,—,—,—,—,—,—,—
Bukit Panjang,1986,4,30,0,—,—,—,—,—,—,—,—
