Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2012,9,1,0,—,—,—,28.9,31.9,27.4,14.8,36.7
Jurong Island,2012,9,2,0,—,—,—,28.9,32.2,27.1,15,34.6
Jurong Island,2012,9,3,0,—,—,—,29.1,32.1,27.3,16.5,36.7
Jurong Island,2012,9,4,0,—,—,—,28.9,32,27.1,14.3,33.8
Jurong Island,2012,9,5,0,—,—,—,26.7,27.9,25,12.9,43.9
Jurong Island,2012,9,6,0,—,—,—,27.4,30.7,25.4,7.5,51.5
Jurong Island,2012,9,7,0,—,—,—,28.3,32,26.3,10.7,38.2
Jurong Island,2012,9,8,0.6,—,—,—,28.4,31,26.4,15.3,35.6
Jurong Island,2012,9,9,1,—,—,—,27,31.1,25.4,8.1,27.7
Jurong Island,2012,9,10,0,—,—,—,27.5,29.6,24.4,9.1,37.4
Jurong Island,2012,9,11,1.4,—,—,—,28,30.5,24.7,7.8,49
Jurong Island,2012,9,12,0,—,—,—,28.4,30.3,27,11,41.4
Jurong Island,2012,9,13,0,—,—,—,28.3,30.3,26.7,11.1,42.8
Jurong Island,2012,9,14,0,—,—,—,28.6,30.3,27,7.5,28.8
Jurong Island,2012,9,15,0,—,—,—,28.7,31.6,27.3,12.5,43.2
Jurong Island,2012,9,16,0,—,—,—,29,31.3,27.5,9.2,25.9
Jurong Island,2012,9,17,0,—,—,—,28.8,33.5,27.6,11.1,27
Jurong Island,2012,9,18,0,—,—,—,29.3,33.1,27.4,11.9,28.8
Jurong Island,2012,9,19,0,—,—,—,29,32.2,27.6,10.6,28.4
Jurong Island,2012,9,20,2.2,—,—,—,29.3,32.2,27.1,8.1,25.6
Jurong Island,2012,9,21,0,—,—,—,28.1,31.5,25.2,5.2,24.8
Jurong Island,2012,9,22,3,—,—,—,28,30.8,25.2,5,23.4
Jurong Island,2012,9,23,0,—,—,—,28.8,31.9,26.9,6.4,32
Jurong Island,2012,9,24,0,—,—,—,28.5,32.1,26.7,7.4,38.2
Jurong Island,2012,9,25,13,—,—,—,28.2,30.1,26,7.5,32.8
Jurong Island,2012,9,26,2,—,—,—,27,28.8,23.5,5.3,29.2
Jurong Island,2012,9,27,23.6,—,—,—,28.5,32.6,22.9,6.1,53.6
Jurong Island,2012,9,28,0,—,—,—,28.6,32.5,25,6.8,28.4
Jurong Island,2012,9,29,0,—,—,—,29.5,33.1,27.7,10.8,26.3
Jurong Island,2012,9,30,0,—,—,—,29,32.3,27.8,15.1,36
