Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tanjong Katong,1980,11,1,0.3,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,2,0,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,3,30.8,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,4,0.3,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,5,11.9,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,6,8.7,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,7,10.7,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,8,44.6,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,9,67.5,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,10,0,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,11,0,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,12,0,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,13,1.1,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,14,3.1,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,15,0,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,16,1.5,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,17,0,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,18,0,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,19,0.2,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,20,44.5,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,21,0.1,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,22,39.6,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,23,2.1,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,24,0,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,25,20.4,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,26,5.6,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,27,0,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,28,0.2,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,29,16.8,—,—,—,—,—,—,—,—
Tanjong Katong,1980,11,30,0.4,—,—,—,—,—,—,—,—
