Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Dhoby Ghaut,2017,11,1,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2017,11,2,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2017,11,3,6.8,3.4,3.8,4.8,—,—,—,—,—
Dhoby Ghaut,2017,11,4,5.2,1,1.4,1.6,—,—,—,—,—
Dhoby Ghaut,2017,11,5,1,0.4,0.4,0.6,—,—,—,—,—
Dhoby Ghaut,2017,11,6,48.8,29.2,33,38.4,—,—,—,—,—
Dhoby Ghaut,2017,11,7,15.6,12.8,14.2,14.6,—,—,—,—,—
Dhoby Ghaut,2017,11,8,2.4,2,2,2,—,—,—,—,—
Dhoby Ghaut,2017,11,9,20.2,11.6,14.4,17.6,—,—,—,—,—
Dhoby Ghaut,2017,11,10,4.4,1.6,1.8,3,—,—,—,—,—
Dhoby Ghaut,2017,11,11,0.8,0.4,0.8,0.8,—,—,—,—,—
Dhoby Ghaut,2017,11,12,6.2,1.4,2.4,3,—,—,—,—,—
Dhoby Ghaut,2017,11,13,2.6,1.4,2.2,2.4,—,—,—,—,—
Dhoby Ghaut,2017,11,14,80.2,29.4,53.8,62.8,—,—,—,—,—
Dhoby Ghaut,2017,11,15,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2017,11,16,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2017,11,17,12,9.8,11.4,11.6,—,—,—,—,—
Dhoby Ghaut,2017,11,18,0,0,0,0,—,—,—,—,—
Dhoby Ghaut,2017,11,19,0.2,0.2,0.2,0.2,—,—,—,—,—
Dhoby Ghaut,2017,11,20,3.6,3.2,3.2,3.4,—,—,—,—,—
Dhoby Ghaut,2017,11,21,3.4,1.4,2,3.2,—,—,—,—,—
Dhoby Ghaut,2017,11,22,6.4,4.6,6.2,6.4,—,—,—,—,—
Dhoby Ghaut,2017,11,23,4.8,2.6,4,4.8,—,—,—,—,—
Dhoby Ghaut,2017,11,24,9.8,8.4,9.2,9.4,—,—,—,—,—
Dhoby Ghaut,2017,11,25,35.6,29,35.4,35.6,—,—,—,—,—
Dhoby Ghaut,2017,11,26,0.2,0.2,0.2,0.2,—,—,—,—,—
Dhoby Ghaut,2017,11,27,2,0.6,1,1.6,—,—,—,—,—
Dhoby Ghaut,2017,11,28,0.8,0.6,0.8,0.8,—,—,—,—,—
Dhoby Ghaut,2017,11,29,—,—,—,—,—,—,—,—,—
Dhoby Ghaut,2017,11,30,—,—,—,—,—,—,—,—,—
