Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Lim Chu Kang,2015,3,1,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,2,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,3,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,4,0.4,0.2,0.2,0.2,—,—,—,—,—
Lim Chu Kang,2015,3,5,—,—,—,—,—,—,—,—,—
Lim Chu Kang,2015,3,6,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,7,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,8,16.2,14.2,15.2,15.8,—,—,—,—,—
Lim Chu Kang,2015,3,9,1.8,1.8,1.8,1.8,—,—,—,—,—
Lim Chu Kang,2015,3,10,0.2,0.2,0.2,0.2,—,—,—,—,—
Lim Chu Kang,2015,3,11,16.4,7.2,10.2,10.8,—,—,—,—,—
Lim Chu Kang,2015,3,12,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,13,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,14,58.4,33.6,44,51.8,—,—,—,—,—
Lim Chu Kang,2015,3,15,11.8,8.8,9.6,9.6,—,—,—,—,—
Lim Chu Kang,2015,3,16,—,—,—,—,—,—,—,—,—
Lim Chu Kang,2015,3,17,30.4,15.6,29.6,30.4,—,—,—,—,—
Lim Chu Kang,2015,3,18,0.2,0.2,0.2,0.2,—,—,—,—,—
Lim Chu Kang,2015,3,19,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,20,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,21,4.8,4.8,4.8,4.8,—,—,—,—,—
Lim Chu Kang,2015,3,22,12,10.2,12,12,—,—,—,—,—
Lim Chu Kang,2015,3,23,5.2,2.4,4.6,5,—,—,—,—,—
Lim Chu Kang,2015,3,24,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,25,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,26,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,27,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,28,2,1,1,1.8,—,—,—,—,—
Lim Chu Kang,2015,3,29,1.2,0.8,1,1.2,—,—,—,—,—
Lim Chu Kang,2015,3,30,0,0,0,0,—,—,—,—,—
Lim Chu Kang,2015,3,31,10.2,5.8,6,6,—,—,—,—,—
