Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Chai Chee,2011,1,1,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,2,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,3,35.2,—,—,—,—,—,—,—,—
Chai Chee,2011,1,4,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,5,16.8,—,—,—,—,—,—,—,—
Chai Chee,2011,1,6,12.4,—,—,—,—,—,—,—,—
Chai Chee,2011,1,7,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,8,0.4,—,—,—,—,—,—,—,—
Chai Chee,2011,1,9,0.8,—,—,—,—,—,—,—,—
Chai Chee,2011,1,10,23.4,—,—,—,—,—,—,—,—
Chai Chee,2011,1,11,0.4,—,—,—,—,—,—,—,—
Chai Chee,2011,1,12,19.2,—,—,—,—,—,—,—,—
Chai Chee,2011,1,13,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,14,18.8,—,—,—,—,—,—,—,—
Chai Chee,2011,1,15,9.6,—,—,—,—,—,—,—,—
Chai Chee,2011,1,16,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,17,9,—,—,—,—,—,—,—,—
Chai Chee,2011,1,18,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,19,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,20,1.4,—,—,—,—,—,—,—,—
Chai Chee,2011,1,21,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,22,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,23,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,24,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,25,14.2,—,—,—,—,—,—,—,—
Chai Chee,2011,1,26,21.6,—,—,—,—,—,—,—,—
Chai Chee,2011,1,27,0,—,—,—,—,—,—,—,—
Chai Chee,2011,1,28,11.4,—,—,—,—,—,—,—,—
Chai Chee,2011,1,29,67.6,—,—,—,—,—,—,—,—
Chai Chee,2011,1,30,112.2,—,—,—,—,—,—,—,—
Chai Chee,2011,1,31,24.6,—,—,—,—,—,—,—,—
