Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Buona Vista,2019,6,1,0.2,0.2,0.2,0.2,—,—,—,—,—
Buona Vista,2019,6,2,23.4,14,14.8,16.2,—,—,—,—,—
Buona Vista,2019,6,3,80.4,46.8,70.8,76.4,—,—,—,—,—
Buona Vista,2019,6,4,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,5,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,6,9.2,4.4,4.6,5,—,—,—,—,—
Buona Vista,2019,6,7,24,13.6,18.6,21,—,—,—,—,—
Buona Vista,2019,6,8,3,3,3,3,—,—,—,—,—
Buona Vista,2019,6,9,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,10,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,11,1.4,0.6,0.6,0.6,—,—,—,—,—
Buona Vista,2019,6,12,12.4,2.6,3.8,7.4,—,—,—,—,—
Buona Vista,2019,6,13,11.4,8.6,9.4,10,—,—,—,—,—
Buona Vista,2019,6,14,0.2,0.2,0.2,0.2,—,—,—,—,—
Buona Vista,2019,6,15,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,16,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,17,22.8,22.4,22.8,22.8,—,—,—,—,—
Buona Vista,2019,6,18,7.2,2.4,3,3.4,—,—,—,—,—
Buona Vista,2019,6,19,2.6,2.4,2.4,2.4,—,—,—,—,—
Buona Vista,2019,6,20,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,21,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,22,4.6,3.4,3.6,3.8,—,—,—,—,—
Buona Vista,2019,6,23,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,24,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,25,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,26,19.4,16.6,19.4,19.4,—,—,—,—,—
Buona Vista,2019,6,27,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,28,0,0,0,0,—,—,—,—,—
Buona Vista,2019,6,29,3.6,3.4,3.6,3.6,—,—,—,—,—
Buona Vista,2019,6,30,0,0,0,0,—,—,—,—,—
