Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Macritchie Reservoir,2019,12,1,2.8,1.6,1.8,2.4,—,—,—,—,—
Macritchie Reservoir,2019,12,2,27.4,16,18.6,22.4,—,—,—,—,—
Macritchie Reservoir,2019,12,3,0.2,0.2,0.2,0.2,—,—,—,—,—
Macritchie Reservoir,2019,12,4,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2019,12,5,1.6,1.6,1.6,1.6,—,—,—,—,—
Macritchie Reservoir,2019,12,6,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2019,12,7,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2019,12,8,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2019,12,9,23,5.6,9.6,11.8,—,—,—,—,—
Macritchie Reservoir,2019,12,10,13.4,3.6,5.4,7.8,—,—,—,—,—
Macritchie Reservoir,2019,12,11,—,—,—,—,—,—,—,—,—
Macritchie Reservoir,2019,12,12,—,—,—,—,—,—,—,—,—
Macritchie Reservoir,2019,12,13,32.2,15.2,16,17.4,—,—,—,—,—
Macritchie Reservoir,2019,12,14,30,3,5.8,10.4,—,—,—,—,—
Macritchie Reservoir,2019,12,15,39.2,16,19.6,21.2,—,—,—,—,—
Macritchie Reservoir,2019,12,16,1,1,1,1,—,—,—,—,—
Macritchie Reservoir,2019,12,17,7,2.2,2.6,3.6,—,—,—,—,—
Macritchie Reservoir,2019,12,18,9.8,9.2,9.6,9.6,—,—,—,—,—
Macritchie Reservoir,2019,12,19,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2019,12,20,0.8,0.8,0.8,0.8,—,—,—,—,—
Macritchie Reservoir,2019,12,21,11.4,7.6,8.4,8.4,—,—,—,—,—
Macritchie Reservoir,2019,12,22,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2019,12,23,7.8,6,7.6,7.8,—,—,—,—,—
Macritchie Reservoir,2019,12,24,1,1,1,1,—,—,—,—,—
Macritchie Reservoir,2019,12,25,0.6,0.6,0.6,0.6,—,—,—,—,—
Macritchie Reservoir,2019,12,26,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2019,12,27,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2019,12,28,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2019,12,29,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2019,12,30,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2019,12,31,0,0,0,0,—,—,—,—,—
