Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tanjong Katong,2016,11,1,27.4,13,20.4,23.2,—,—,—,—,—
Tanjong Katong,2016,11,2,22.2,16.8,17.2,17.2,—,—,—,—,—
Tanjong Katong,2016,11,3,0.6,0.4,0.4,0.6,—,—,—,—,—
Tanjong Katong,2016,11,4,3.4,1.8,2,2.4,—,—,—,—,—
Tanjong Katong,2016,11,5,8,4,4.2,5.4,—,—,—,—,—
Tanjong Katong,2016,11,6,0,0,0,0,—,—,—,—,—
Tanjong Katong,2016,11,7,5.2,3.8,4.2,4.2,—,—,—,—,—
Tanjong Katong,2016,11,8,0,0,0,0,—,—,—,—,—
Tanjong Katong,2016,11,9,3.2,2.8,2.8,2.8,—,—,—,—,—
Tanjong Katong,2016,11,10,27.8,26,27.4,27.8,—,—,—,—,—
Tanjong Katong,2016,11,11,0.4,0.2,0.2,0.4,—,—,—,—,—
Tanjong Katong,2016,11,12,0,0,0,0,—,—,—,—,—
Tanjong Katong,2016,11,13,0,0,0,0,—,—,—,—,—
Tanjong Katong,2016,11,14,31.8,12,18.4,27.2,—,—,—,—,—
Tanjong Katong,2016,11,15,6.4,4.2,5.8,6.4,—,—,—,—,—
Tanjong Katong,2016,11,16,35.2,16.4,21.6,32,—,—,—,—,—
Tanjong Katong,2016,11,17,18.6,16.4,18,18.6,—,—,—,—,—
Tanjong Katong,2016,11,18,0.2,0.2,0.2,0.2,—,—,—,—,—
Tanjong Katong,2016,11,19,0,0,0,0,—,—,—,—,—
Tanjong Katong,2016,11,20,0.6,0.6,0.6,0.6,—,—,—,—,—
Tanjong Katong,2016,11,21,0.2,0.2,0.2,0.2,—,—,—,—,—
Tanjong Katong,2016,11,22,0,0,0,0,—,—,—,—,—
Tanjong Katong,2016,11,23,7.4,5.2,6.8,6.8,—,—,—,—,—
Tanjong Katong,2016,11,24,0,0,0,0,—,—,—,—,—
Tanjong Katong,2016,11,25,36.8,29.8,36.4,36.8,—,—,—,—,—
Tanjong Katong,2016,11,26,33.6,24.2,30.4,32.2,—,—,—,—,—
Tanjong Katong,2016,11,27,2.2,2,2,2.2,—,—,—,—,—
Tanjong Katong,2016,11,28,0,0,0,0,—,—,—,—,—
Tanjong Katong,2016,11,29,0.2,0.2,0.2,0.2,—,—,—,—,—
Tanjong Katong,2016,11,30,0,0,0,0,—,—,—,—,—
