Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Macritchie Reservoir,2014,11,1,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,11,2,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,11,3,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,11,4,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,11,5,9.2,8.2,8.2,8.8,—,—,—,—,—
Macritchie Reservoir,2014,11,6,7.4,6.4,6.6,7,—,—,—,—,—
Macritchie Reservoir,2014,11,7,6.6,5.4,5.8,6.2,—,—,—,—,—
Macritchie Reservoir,2014,11,8,63.8,32.4,49.4,51.2,—,—,—,—,—
Macritchie Reservoir,2014,11,9,6.2,3.4,5.4,5.4,—,—,—,—,—
Macritchie Reservoir,2014,11,10,1.6,1.6,1.6,1.6,—,—,—,—,—
Macritchie Reservoir,2014,11,11,5.2,3,3.8,4.2,—,—,—,—,—
Macritchie Reservoir,2014,11,12,21.8,17,21.2,21.6,—,—,—,—,—
Macritchie Reservoir,2014,11,13,18,17.4,17.8,18,—,—,—,—,—
Macritchie Reservoir,2014,11,14,0.4,0.2,0.2,0.2,—,—,—,—,—
Macritchie Reservoir,2014,11,15,5.6,3.6,3.8,4.2,—,—,—,—,—
Macritchie Reservoir,2014,11,16,10.6,4.8,8,10.4,—,—,—,—,—
Macritchie Reservoir,2014,11,17,21.6,15.8,20,21.4,—,—,—,—,—
Macritchie Reservoir,2014,11,18,5.4,1,1.6,2.8,—,—,—,—,—
Macritchie Reservoir,2014,11,19,0.2,0.2,0.2,0.2,—,—,—,—,—
Macritchie Reservoir,2014,11,20,11.8,6.2,10,11.6,—,—,—,—,—
Macritchie Reservoir,2014,11,21,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,11,22,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,11,23,36.8,22.6,23.2,23.8,—,—,—,—,—
Macritchie Reservoir,2014,11,24,13.4,11.2,12.8,13,—,—,—,—,—
Macritchie Reservoir,2014,11,25,50.8,22.8,35.4,38,—,—,—,—,—
Macritchie Reservoir,2014,11,26,8.2,3.6,6.2,7.2,—,—,—,—,—
Macritchie Reservoir,2014,11,27,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,11,28,1.2,1,1,1,—,—,—,—,—
Macritchie Reservoir,2014,11,29,15.6,9.6,15.2,15.6,—,—,—,—,—
Macritchie Reservoir,2014,11,30,0,0,0,0,—,—,—,—,—
