Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Nicoll Highway,2018,7,1,1.2,0.8,0.8,0.8,—,—,—,—,—
Nicoll Highway,2018,7,2,1.2,0.8,1,1,—,—,—,—,—
Nicoll Highway,2018,7,3,1,0.6,1,1,—,—,—,—,—
Nicoll Highway,2018,7,4,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,5,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,6,0.4,0.4,0.4,0.4,—,—,—,—,—
Nicoll Highway,2018,7,7,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,8,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,9,0.6,0.4,0.6,0.6,—,—,—,—,—
Nicoll Highway,2018,7,10,3.6,1.4,1.6,2.4,—,—,—,—,—
Nicoll Highway,2018,7,11,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,12,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,13,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,14,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,15,15.8,14.6,14.8,15.2,—,—,—,—,—
Nicoll Highway,2018,7,16,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,17,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,18,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,19,21.6,19.6,21,21.6,—,—,—,—,—
Nicoll Highway,2018,7,20,14,13.8,14,14,—,—,—,—,—
Nicoll Highway,2018,7,21,3,2.6,3,3,—,—,—,—,—
Nicoll Highway,2018,7,22,0.2,0.2,0.2,0.2,—,—,—,—,—
Nicoll Highway,2018,7,23,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,24,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,25,1.4,0.8,1.2,1.4,—,—,—,—,—
Nicoll Highway,2018,7,26,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,27,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,28,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,29,0,0,0,0,—,—,—,—,—
Nicoll Highway,2018,7,30,15.8,12.2,12.6,12.6,—,—,—,—,—
Nicoll Highway,2018,7,31,0.4,0.4,0.4,0.4,—,—,—,—,—
