Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Upper Thomson,2017,2,1,0,0,0,0,—,—,—,—,—
Upper Thomson,2017,2,2,4.8,4.8,4.8,4.8,—,—,—,—,—
Upper Thomson,2017,2,3,16.4,16,16.2,16.2,—,—,—,—,—
Upper Thomson,2017,2,4,8,6.6,7.8,7.8,—,—,—,—,—
Upper Thomson,2017,2,5,0,0,0,0,—,—,—,—,—
Upper Thomson,2017,2,6,0,0,0,0,—,—,—,—,—
Upper Thomson,2017,2,7,6.4,5.6,6.4,6.4,—,—,—,—,—
Upper Thomson,2017,2,8,39.8,19,21.6,24.4,—,—,—,—,—
Upper Thomson,2017,2,9,0.2,0.2,0.2,0.2,—,—,—,—,—
Upper Thomson,2017,2,10,0,0,0,0,—,—,—,—,—
Upper Thomson,2017,2,11,1,1,1,1,—,—,—,—,—
Upper Thomson,2017,2,12,4,2.2,2.4,3.2,—,—,—,—,—
Upper Thomson,2017,2,13,2.2,2,2,2,—,—,—,—,—
Upper Thomson,2017,2,14,3.8,2.4,2.4,3,—,—,—,—,—
Upper Thomson,2017,2,15,8,1.6,2.6,3.2,—,—,—,—,—
Upper Thomson,2017,2,16,0,0,0,0,—,—,—,—,—
Upper Thomson,2017,2,17,0,0,0,0,—,—,—,—,—
Upper Thomson,2017,2,18,0,0,0,0,—,—,—,—,—
Upper Thomson,2017,2,19,0,0,0,0,—,—,—,—,—
Upper Thomson,2017,2,20,0,0,0,0,—,—,—,—,—
Upper Thomson,2017,2,21,0.2,0.2,0.2,0.2,—,—,—,—,—
Upper Thomson,2017,2,22,0,0,0,0,—,—,—,—,—
Upper Thomson,2017,2,23,6.8,3.4,4.2,5.2,—,—,—,—,—
Upper Thomson,2017,2,24,15.4,3,4.6,7.6,—,—,—,—,—
Upper Thomson,2017,2,25,3,2.2,2.2,2.6,—,—,—,—,—
Upper Thomson,2017,2,26,0.6,0.6,0.6,0.6,—,—,—,—,—
Upper Thomson,2017,2,27,1.2,0.8,1,1.2,—,—,—,—,—
Upper Thomson,2017,2,28,10.4,7.6,7.6,7.6,—,—,—,—,—
