Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Ris (West),2012,5,1,17.8,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,2,1,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,3,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,4,58.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,5,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,6,32.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,7,2.6,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,8,3.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,9,2.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,10,1,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,11,68.4,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,12,21,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,13,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,14,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,15,11,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,16,29,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,17,1,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,18,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,19,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,20,1.8,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,21,8.8,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,22,22,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,23,0.6,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,24,0.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,25,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,26,10.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,27,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,28,0,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,29,8.2,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,30,2,—,—,—,—,—,—,—,—
Pasir Ris (West),2012,5,31,41.8,—,—,—,—,—,—,—,—
