Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SOHO LIFE,216 Joo Chiat Road  #01-15 ,33,Strata,672224,20370,1892,09-MAY-2011,Retail,Freehold,New Sale,15,42,427483,Central Region,Geylang
SOHO LIFE,216 Joo Chiat Road  #01-14 ,33,Strata,700934,21240,1973,09-MAY-2011,Retail,Freehold,New Sale,15,42,427483,Central Region,Geylang
SOHO LIFE,216 Joo Chiat Road  #01-11 ,33,Strata,710280,21524,2000,10-MAY-2011,Retail,Freehold,New Sale,15,42,427483,Central Region,Geylang
SOHO LIFE,216 Joo Chiat Road  #01-10 ,33,Strata,750000,22727,2111,10-MAY-2011,Retail,Freehold,New Sale,15,42,427483,Central Region,Geylang
SOHO LIFE,216 Joo Chiat Road  #01-09 ,33,Strata,729906,22118,2055,11-MAY-2011,Retail,Freehold,New Sale,15,42,427483,Central Region,Geylang
N.A.,390 East Coast Road ,103,Strata,1480000,14369,1335,16-MAY-2011,Shop House,Freehold,Resale,15,42,428991,East Region,Bedok
N.A.,117/119/121 Upper East Coast Road ,379,Land,2800000,7398,687,24-JAN-2011,Shop House,Freehold,Resale,15,45,455243,East Region,Bedok
N.A.,99 East Coast Road ,110,Land,2900000,26436,2456,01-FEB-2011,Shop House,Freehold,Resale,15,42,428795,Central Region,Marine Parade
N.A.,253 Joo Chiat Road ,135,Strata,1290000,9556,888,17-FEB-2011,Shop House,Freehold,Resale,15,42,427507,Central Region,Geylang
N.A.,49 East Coast Road ,89,Land,3060000,34305,3187,22-FEB-2011,Shop House,Freehold,Resale,15,42,428768,Central Region,Marine Parade
N.A.,118/118A Tembeling Road ,151,Land,1100000,7266,675,25-FEB-2011,Shop House,Freehold,Resale,15,42,423617,Central Region,Geylang
N.A.,92 Joo Chiat Road ,95,Land,2150000,22632,2103,07-MAR-2011,Shop House,Freehold,Resale,15,42,427386,Central Region,Geylang
ROXY SQUARE,50 East Coast Road  #01-104 ,41,Strata,845000,20610,1915,18-MAR-2011,Retail,9999 Yrs From 01/01/1980,Resale,15,42,428769,Central Region,Marine Parade
PARAMOUNT SHOPPING CENTRE,30 East Coast Road  #01-08 ,30,Strata,613619,20454,1900,25-NOV-2010,Retail,Freehold,Resale,15,42,428751,Central Region,Marine Parade
PARAMOUNT SHOPPING CENTRE,30 East Coast Road  #02-14 ,24,Strata,390230,16260,1511,25-NOV-2010,Retail,Freehold,Resale,15,42,428751,Central Region,Marine Parade
PARAMOUNT SHOPPING CENTRE,30 East Coast Road  #03-11 ,35,Strata,530479,15157,1408,25-NOV-2010,Retail,Freehold,Resale,15,42,428751,Central Region,Marine Parade
PARAMOUNT SHOPPING CENTRE,30 East Coast Road  #03-21/22 ,64,Strata,928273,14504,1347,25-NOV-2010,Retail,Freehold,Resale,15,42,428751,Central Region,Marine Parade
PARAMOUNT SHOPPING CENTRE,30 East Coast Road  #02-19 ,24,Strata,407325,16972,1577,25-NOV-2010,Retail,Freehold,Resale,15,42,428751,Central Region,Marine Parade
PARAMOUNT SHOPPING CENTRE,30 East Coast Road  #02-18 ,24,Strata,407325,16972,1577,25-NOV-2010,Retail,Freehold,Resale,15,42,428751,Central Region,Marine Parade
PARAMOUNT SHOPPING CENTRE,30 East Coast Road  #02-12 ,24,Strata,390230,16260,1511,25-NOV-2010,Retail,Freehold,Resale,15,42,428751,Central Region,Marine Parade
PARAMOUNT SHOPPING CENTRE,30 East Coast Road  #03-20 ,35,Strata,530479,15157,1408,25-NOV-2010,Retail,Freehold,Resale,15,42,428751,Central Region,Marine Parade
PARAMOUNT SHOPPING CENTRE,30 East Coast Road  #03-10 ,35,Strata,553492,15814,1469,25-NOV-2010,Retail,Freehold,Resale,15,42,428751,Central Region,Marine Parade
PARAMOUNT SHOPPING CENTRE,30 East Coast Road  #03-05 ,35,Strata,507466,14499,1347,25-NOV-2010,Retail,Freehold,Resale,15,42,428751,Central Region,Marine Parade
PARAMOUNT SHOPPING CENTRE,30 East Coast Road  #01-31 ,40,Strata,755405,18885,1754,25-NOV-2010,Retail,Freehold,Resale,15,42,428751,Central Region,Marine Parade
PARAMOUNT SHOPPING CENTRE,30 East Coast Road  #01-11 ,30,Strata,587524,19584,1819,25-NOV-2010,Retail,Freehold,Resale,15,42,428751,Central Region,Marine Parade
OCEAN PARK,520 East Coast Road  #01-01 ,36,Strata,580000,16111,1497,20-DEC-2010,Retail,Freehold,Resale,15,45,458965,East Region,Bedok
ROXY SQUARE,50 East Coast Road  #01-74 ,26,Strata,530000,20385,1894,21-DEC-2010,Retail,9999 Yrs From 01/01/1980,Resale,15,42,428769,Central Region,Marine Parade
ROXY SQUARE,50 East Coast Road  #01-99 ,43,Strata,780000,18140,1685,21-DEC-2010,Retail,9999 Yrs From 01/01/1980,Resale,15,42,428769,Central Region,Marine Parade
N.A.,184 Joo Chiat Road ,99,Land,2000000,20305,1886,27-DEC-2010,Shop House,Freehold,Resale,15,42,427455,Central Region,Geylang
